id,categoria,profesional,precioHora,nivel
1,5,8,546,intermedio
2,5,169,323,básico
3,6,147,1149,avanzado
4,2,114,511,intermedio
5,8,98,878,avanzado
6,2,115,1140,avanzado
7,10,182,576,intermedio
8,9,10,397,intermedio
9,1,179,1098,avanzado
10,15,79,1194,intermedio
11,2,163,739,avanzado
12,9,93,695,básico
13,11,74,814,avanzado
14,2,26,318,básico
15,6,17,442,intermedio
16,12,75,488,básico
17,1,58,802,básico
18,6,136,912,básico
19,5,169,1024,básico
20,13,18,934,avanzado
21,9,157,352,intermedio
22,11,78,700,básico
23,14,143,517,básico
24,5,94,857,intermedio
25,15,10,1081,básico
26,8,136,837,avanzado
27,13,29,1180,básico
28,12,49,326,avanzado
29,10,97,817,intermedio
30,5,129,588,intermedio
31,11,10,1160,básico
32,6,92,401,intermedio
33,12,25,1134,básico
34,13,29,495,avanzado
35,5,97,466,intermedio
36,8,71,1134,intermedio
37,7,95,935,básico
38,9,25,880,intermedio
39,12,70,687,avanzado
40,11,90,527,avanzado
41,2,104,709,avanzado
42,8,80,911,intermedio
43,2,69,1103,intermedio
44,14,47,693,básico
45,6,30,426,avanzado
46,9,49,808,avanzado
47,3,59,1110,avanzado
48,4,178,903,avanzado
49,14,75,795,avanzado
50,11,9,801,básico
51,4,68,724,intermedio
52,4,22,673,intermedio
53,6,160,491,básico
54,15,13,744,intermedio
55,6,111,1055,intermedio
56,3,8,477,avanzado
57,15,198,478,intermedio
58,1,32,1140,avanzado
59,5,158,319,básico
60,1,113,352,intermedio
61,11,153,420,avanzado
62,11,70,1145,intermedio
63,5,160,904,intermedio
64,7,154,946,básico
65,13,64,1031,intermedio
66,13,28,514,avanzado
67,7,30,572,avanzado
68,10,159,532,intermedio
69,11,113,434,intermedio
70,1,183,984,básico
71,10,61,343,avanzado
72,3,63,1059,intermedio
73,7,84,924,avanzado
74,6,44,1030,básico
75,13,157,744,básico
76,6,139,957,avanzado
77,8,40,1080,intermedio
78,7,71,941,básico
79,13,194,1134,intermedio
80,10,182,459,avanzado
81,14,153,541,básico
82,1,84,962,básico
83,11,37,1098,básico
84,13,177,951,intermedio
85,8,26,392,básico
86,13,140,955,intermedio
87,15,93,1159,básico
88,2,49,313,avanzado
89,4,50,705,intermedio
90,10,174,396,avanzado
91,6,122,1072,intermedio
92,7,123,301,intermedio
93,4,140,730,básico
94,15,113,802,intermedio
95,15,151,986,intermedio
96,2,46,667,básico
97,10,25,440,intermedio
98,13,7,320,básico
99,12,164,604,intermedio
100,10,97,1171,intermedio
101,9,168,904,básico
102,7,132,761,intermedio
103,3,12,996,básico
104,13,72,810,avanzado
105,1,126,504,avanzado
106,14,83,938,avanzado
107,3,86,721,básico
108,2,174,585,básico
109,13,168,538,básico
110,5,136,1000,avanzado
111,13,34,395,intermedio
112,14,30,793,avanzado
113,15,99,1023,avanzado
114,1,126,1133,intermedio
115,10,62,1178,básico
116,14,52,379,avanzado
117,9,155,1002,básico
118,3,192,1194,avanzado
119,11,158,1028,básico
120,3,165,721,básico
121,9,8,517,intermedio
122,3,36,998,básico
123,8,188,1110,avanzado
124,7,136,1071,avanzado
125,3,98,1024,avanzado
126,10,143,732,básico
127,14,111,1188,intermedio
128,2,48,781,básico
129,2,36,909,avanzado
130,2,112,303,avanzado
131,13,65,865,avanzado
132,1,93,751,avanzado
133,13,23,870,básico
134,3,163,589,avanzado
135,3,21,322,básico
136,10,160,1037,intermedio
137,1,169,787,básico
138,9,166,462,intermedio
139,12,184,732,intermedio
140,2,158,628,básico
141,4,81,745,intermedio
142,10,19,886,básico
143,3,82,783,intermedio
144,3,130,1146,básico
145,4,158,1142,avanzado
146,4,38,1045,avanzado
147,5,123,811,avanzado
148,1,188,1169,avanzado
149,4,170,629,avanzado
