id,trabajo,profesional,usuario
1,40,82,263
2,169,162,549
3,112,178,645
4,72,77,318
5,72,183,276
6,67,155,243
7,128,140,280
8,19,127,639
9,14,108,504
10,150,133,229
11,192,76,193
12,171,160,333
13,39,115,374
14,130,102,472
15,38,119,413
16,40,150,257
17,161,187,473
18,84,168,585
19,132,161,188
20,129,31,373
21,34,113,298
22,16,112,354
23,8,177,674
24,20,136,54
25,140,76,469
26,148,52,244
27,107,101,209
28,54,17,641
29,41,193,471
30,143,68,693
31,63,40,182
32,188,63,445
33,147,169,631
34,120,28,98
35,111,20,178
36,91,179,420
37,112,177,326
38,186,51,473
39,107,29,634
40,187,166,234
41,177,5,119
42,199,132,393
43,159,110,570
44,79,64,382
45,140,175,508
46,172,38,625
47,167,59,780
48,34,94,135
49,164,137,791
50,145,88,559
51,36,79,416
52,117,146,534
53,135,106,637
54,60,58,485
55,62,172,612
56,187,132,232
57,166,160,644
58,138,85,297
59,136,38,794
60,115,3,488
61,81,195,687
62,78,35,337
63,173,144,492
64,156,52,297
65,174,73,274
66,44,108,381
67,150,161,180
68,48,179,336
69,103,62,624
70,13,21,341
71,36,82,365
72,180,80,398
73,121,128,452
74,81,2,368
75,51,51,260
76,127,183,10
77,160,30,245
78,146,44,85
79,39,96,708
80,59,66,97
81,128,19,248
82,148,41,220
83,146,32,209
84,155,198,512
85,38,31,419
86,14,62,763
87,5,86,168
88,57,145,149
89,49,179,561
90,56,71,238
91,101,114,225
92,18,23,112
93,81,136,317
94,172,80,185
95,36,138,442
96,10,36,651
97,165,76,596
98,110,113,69
99,1,49,467
100,148,164,797
101,38,81,789
102,173,111,502
103,101,82,613
104,38,75,23
105,74,128,637
106,11,101,108
107,159,159,224
108,35,19,142
109,181,128,590
110,99,97,421
111,171,68,659
112,116,145,122
113,161,58,154
114,42,109,527
115,158,26,331
116,25,53,435
117,98,94,757
118,22,134,46
119,165,74,152
120,151,78,255
121,178,136,386
122,68,4,324
123,101,150,341
124,111,183,632
125,166,35,271
126,20,45,416
127,62,195,507
128,45,190,715
129,42,141,785
130,73,129,270
131,62,144,278
132,182,183,586
133,48,97,638
134,12,131,446
135,73,120,772
136,148,68,685
137,162,183,244
138,35,120,11
139,3,22,782
140,169,161,143
141,145,124,544
142,146,113,264
143,38,138,496
144,84,169,56
145,77,140,399
146,93,38,680
147,46,17,650
148,20,148,488
149,138,92,225
150,30,137,310
151,191,59,626
152,99,163,562
153,57,118,217
154,133,31,676
155,125,156,444
156,164,190,112
157,77,60,326
158,38,97,382
159,125,93,599
160,147,115,614
161,147,75,543
162,14,49,59
163,116,34,23
164,64,147,672
165,33,158,138
166,22,105,217
167,129,156,444
168,56,122,348
169,163,4,70
170,71,95,355
171,40,18,197
172,158,198,789
173,110,36,504
174,116,14,228
175,117,54,732
176,79,164,110
177,24,116,780
178,58,67,708
179,71,89,290
180,59,71,537
181,24,10,685
182,80,23,581
183,161,85,12
184,51,72,116
185,129,95,96
186,14,136,6
187,124,148,59
188,107,125,165
189,115,86,758
190,121,19,287
191,63,167,205
192,183,128,655
193,65,57,406
194,69,12,650
195,51,133,102
196,163,112,209
197,104,173,754
198,72,103,310
199,31,193,17
200,153,196,125
